"SentenceID","Sentence_text","TextTitle","Text_Author","cross_count","tokens","words","parts_of_speech"
556507,"Повеяло теплое, сладкое благоухание от розы, смешанное с резким спиртным запахом.","Мелкий бес","Федор Кузьмич Сологуб","8","{благоухание,запах}","{повеяло,резкий,роза,с,смешать,спиртной,тёплый}","{ADJ,ADP,NOUN,VERB,VERB_HEAD}"
337085,"Теперь, как никогда за всю мою жизнь, я думаю о запахах цветов, душистого сена где-нибудь на опушке леса, о дальних прогулках пешком, шуме морского прибоя… Мною не утеряны обоняние, осязание и прочие чувства, но я отрезан от всего многообразия мира ощущений.","Голова профессора Доуэля","Александр Романович Беляев","8","{запах,обоняние}","{думать,о,осязание,прогулка,сена,утерять,цвет,чувство}","{ADP,NOUN,VERB_HEAD}"
199959,"С мрачной решимостью он принимает как свою судьбу «труды, тревоги и сражения»[88 - В. Н. добавляет, сначала взяв в скобки, затем вычеркнув: «или „пот, кровь и слезы“, как выразился более тучный джентльмен в более трагических обстоятельствах» (из выступления У. Черчилля в парламенте в мае 1940 года).","Другие берега","Владимир Владимирович Набоков","8","{пот}","{“,„,выразиться,выступление,вычеркнуть,или,кровь,слеза}","{CCONJ,NOUN,PUNCT,VERB,VERB_HEAD}"
594630,"Только в эту минуту я понял, отчего происходил тот сильный тяжелый запах, который, смешиваясь с запахом ладана, наполнял комнату; и мысль, что то лицо, которое за несколько дней было исполнено красоты и нежности, лицо той, которую я любил больше всего на свете, могло возбуждать ужас, как будто в первый раз открыла мне горькую истину и наполнила душу отчаянием.","Детство, юность, отрочество","Лев Николаевич Толстой","8","{запах}","{ладан,наполнять,происходить,с,сильный,смешиваться,тот,тяжёлый}","{ADJ,ADP,DET,NOUN,VERB,VERB_HEAD}"
201752,"88

В. Н. добавляет, сначала взяв в скобки, затем вычеркнув: «или „пот, кровь и слезы“, как выразился более тучный джентльмен в более трагических обстоятельствах» (из выступления У. Черчилля в парламенте в мае 1940 года).","Другие берега","Владимир Владимирович Набоков","8","{пот}","{“,„,выразиться,выступление,вычеркнуть,или,кровь,слеза}","{CCONJ,NOUN,PUNCT,VERB,VERB_HEAD}"
286067,"Деревья еще стояли зелеными, но в запахе воздуха, листьев и травы уже слегка чувствовался, точно издали, нежный, меланхолический и в то же время очаровательный запах приближающейся осени.","Яма","Александр Иванович Куприн","8","{запах}","{в,воздух,издать,нежный,но,осень,очаровательный,чувствоваться}","{ADJ,ADP,CCONJ,NOUN,VERB_HEAD}"
577123,"А нагретая солнцем степь уже дышала всеми ароматами разнотравья, пресно примешивался к запаху скошенных трав запах теплой дорожной пыли, нечетко синели тонущие в мареве нити дальних горизонтов, — и жадными глазами оглядывала Варя незнакомую ей задонскую, но все же бесконечно родную степь.","Поднятая целина","Михаил Александрович Шолохов","8","{аромат,запах}","{весь,дышать,к,примешиваться,пыль,разнотравье,трава}","{ADP,DET,NOUN,VERB_HEAD}"
236869,"Барчонка-белоручки в них не видать, духа барского не слыхать, а есть в них какой-то особенный простонародный запах, прирожденный им, и боже мой, как чуток народ к этому запаху!","Собрание повестей и рассказов в одном томе","Фёдор Михайлович Достоевский","8","{запах}","{быть,к,какой,особенный,прирожденный,простонародный,то,этот}","{ADJ,ADP,DET,VERB,VERB_HEAD}"
341928,"Есть запах ландыша – и есть мерзкий запах белены: и то и другое запах.","Мы (сборник)","Евгений Иванович Замятин","8","{запах}","{белёный,быть,другое,запах,ландыш,мерзкий,то}","{ADJ,NOUN,PRON,VERB_HEAD}"
110890,"Все эти воины были превосходно вымыты, выбриты, продушены насквозь каким-то истинно дворянским и гвардейским запахом, смесью отличнейшего сигарного дыма и удивительнейшего пачули.","Дым","Иван Сергеевич Тургенев","8","{дым,запах}","{дворянский,какой,отличнейшего,пачули,продушить,сигарный,смесь,то}","{ADJ,DET,NOUN,VERB,VERB_HEAD}"
107662,"Но овладевшее им чувство робости скоро исчезло: в генерале врожденное всем русским добродушие еще усугублялось тою особенного рода приветливостью, которая свойственна всем немного замаранным людям; генеральша как-то скоро стушевалась; что же касается до Варвары Павловны, то она так была спокойна и самоуверенно-ласкова, что всякий в ее присутствии тотчас чувствовал себя как бы дома; притом от всего ее пленительного тела, от улыбавшихся глаз, от невинно-покатых плечей и бледно-розовых рук, от легкой и в то же время как бы усталой походки, от самого звука ее голоса, замедленного, сладкого, – веяло неуловимой, как тонкий запах, вкрадчивой прелестью, мягкой, пока еще стыдливой, негой, чем-то таким, что словами передать трудно, но что трогало и возбуждало, – и уже, конечно, возбуждало не робость.","Дворянское гнездо","Иван Сергеевич Тургенев","8","{запах}","{веять,как,мягкий,прелесть,такой,то,тонкий,что}","{ADJ,DET,NOUN,PRON,SCONJ,VERB_HEAD}"
644904,"Полуобнаженные женщины в длинных рубахах, с расстегнутыми воротниками и лицами, размазанными мелом, кирпичом и сажей; густой желто-сизый дым пылающих головней и красных угольев, светящих из чугунков и корчажек, с которыми огромная толпа мужиков ворвалась в дом, и среди этого дыма коровий череп на шесте, неизвестно для чего сюда попавший, и тощая вдова в саване и с глазами без век; а на земле труп с распростертыми окоченевшими руками, и тут же суетящиеся и не знающие, что делать, гости.","На ножах","Николай Семенович Лесков","8","{дым}","{головня,густой,жёлтый,и,коровий,сизый,среди,этот}","{ADJ,ADP,CCONJ,DET,NOUN}"
207123,"Я не простой… я тот, который жив среди вас… Не только мои глаза другие, и слух, и вкус, – не только обоняние, как у оленя, а осязание, как у нетопыря, – но главное: дар сочетать все это в одной точке… Нет, тайна еще не раскрыта, – даже это – только огниво, – и я не заикнулся еще о зарождении огня, о нем самом.","Приглашение на казнь","Владимир Владимирович Набоков","7","{обоняние}","{–,…,главный,другие,не,олень,осязание}","{ADJ,NOUN,PART,PUNCT}"
333381,"— повести роту в пушечном дыму, самому схватиться за древко неприятельского знамени… («Спасибо, Алексей, жалую тебя в полковники…») Сегодня одного хотелось — залезть в теплую вонь землянки, похлебать из котелка жидкой каши, чтоб обожгло глотку…

Жмурясь от ветра, Алексей крикнул ближайшему — Голикову:

— Чего рот разинул, стоять бодро.","Петр Первый","Алексей Николаевич Толстой","7","{вонь,дым}","{в,залезть,повести,пушечном,самому,тёплый}","{ADJ,ADP,VERB,VERB_HEAD}"
113130,"Вспомнилось ему многое, что с громом и треском совершалось на его глазах в последние годы.. 

Дым, шептал он, дым; вспомнились горячие споры, толки и крики у Губарева, у других, высоко- и низкопоставленных, передовых и отсталых, старых и молодых людей... Дым, повторял он, дым и пар. Вспомнился, наконец, и знаменитый пикник, вспомнились и другие суждения и речи других государственных людей - и даже все то, что проповедовал Потугин ... дым, дым, и больше ничего.","Дым","Иван Сергеевич Тургенев","7","{дым}","{вспомнились,вспомнился,дым,ничто,повторять,шептать}","{NOUN,PRON,VERB,VERB_HEAD}"
332406,"Это самое «рафине» (так объясняла Аталия) понимают даже и не при всех королевских дворах: в самом Версале грубости и свинства весьма достаточно…

— Представь, душа моя, в сырой вечер не растворишь окна — такое зловоние вокруг дворца, — из кустов и даже балконов… Придворные ютятся в тесноте, спят кое-как, в неряшестве, обливаются духами, чтобы отбить запах нечистого белья… Ах, мы с тобой должны поехать в Италию… Это будет прекрасный сон… Это родина всего рафине… К твоим услугам — поэзия, музыка, игра страстей, утонченные наслаждения ума…

Серебряным ножичком Аталия очищала яблоко.","Петр Первый","Алексей Николаевич Толстой","7","{запах,зловоние}","{—,бельё,дворец,куст,отбить,растворить,такой}","{DET,NOUN,PUNCT,VERB_HEAD}"
477729,"— Я и без того весь потный, — сказал он, хотел по привычке выругаться, но, передумав, быстро облапил Настю, стал целовать ее в захохотавший влажный рот.","Угрюм-река","Вячеслав Яковлевич Шишков","7","{потный}","{—,весь,сказать,стать,того,хотеть,я}","{DET,PRON,PUNCT,VERB}"
454641,"Запах подгоревшей каши заметно усилился и перебил все остальные кислые запахи, обитавшие в доме.","Двенадцать стульев","Илья Ильф, Евгений Петров","7","{запах}","{весь,каша,кислый,обитать,остальные,перебить,усилиться}","{ADJ,DET,NOUN,VERB,VERB_HEAD}"
304802,"Его ноздри вдыхали благоухание духов и тот, почти неуловимый, но оглушающий и различный для каждого запах женской кожи.","Хождение по мукам","Алексей Николаевич Толстой","7","{благоухание,запах}","{вдыхать,для,дух,каждый,кожа,различный,тот}","{ADJ,ADP,DET,NOUN,VERB_HEAD}"
449573,"и в этом запахе что-то такое светлое, такое… такое… — было сегодня утром, у нашей лужи, розовое-живое в вербе, в румяном, голубоватом небе… — вдруг осветило и погасло.","Лето Господне","Иван Сергеевич Шмелев","7","{запах}","{…,и,светлый,такой,то,что,это}","{ADJ,CCONJ,DET,PRON,PUNCT}"
288097,"Потом ты загрубеешь, и от тебя станет пахнуть козлом, а теперь от тебя пахнет медом и молоком... и немного каким-то диким цветком.","Яма","Александр Иванович Куприн","7","{пахнуть}","{а,загрубеешь,козёл,мёд,стать,тебя,теперь}","{ADV,CCONJ,NOUN,PRON,VERB_HEAD}"
578000,"К могилам ветер нес со степи уже не горький душок полыни, а запах свежеобмолоченной соломы с расположенных за хутором гумен.","Поднятая целина","Михаил Александрович Шолохов","7","{душок,запах}","{а,горький,гумен,запах,нести,полынь,солома}","{ADJ,CCONJ,NOUN,VERB_HEAD}"
254244,"Он ко всему этому давно привык, его не смущает эта близость наша, — но я знаю одно: что бы ни случилось с ним в жизни, он навсегда запомнит картину, которую в детстве ежедневно видел из комнатки, где его кормили супом, — запомнит и бильярд, и вечернего посетителя без пиджака, отодвигавшего белым углом локоть, стрелявшего кием по шару, — и сизый дым сигар, и гул голосов, и отца за стойкой, наливавшего из крана кружку пива.","Полное собрание рассказов","Владимир Владимирович Набоков","7","{дым}","{—,гул,и,отец,привыкнуть,сигара,сизый}","{ADJ,CCONJ,NOUN,PUNCT,VERB_HEAD}"
205619,"И над всем этим, особенно по воскресеньям, когда теснота была всего гаже, господствовал незабываемый запах, запах пыли, пота, тины, нечистого белья, проветриваемой и сохнувшей бедности, запах вяленых, копченых, грошовых душ.","Дар","Владимир Владимирович Набоков","7","{запах}","{господствовать,душа,запах,незабываемый,проветривать,пыль}","{ADJ,NOUN,VERB,VERB_HEAD}"
110600,"То чудилось ему мычанье Губарева и представлялись его вниз устремленные глаза с их тупым и упрямым взглядом; то вдруг эти самые глаза разгорались и прыгали, и он узнавал Суханчикову, слышал ее трескучий голос и невольно, шепотом, повторял за нею: ""Дала, дала пощечину""; то выдвигалась перед ним нескладная фигура Потугина, и он в десятый, в двадцатый раз припоминал каждое его слово; то, как куколка из табакерки, выскакивал Ворошилов в своем общелкнутом пальто, сидевшем на нем, как новый мундирчик, и Пищалкин мудро и важно кивал отлично выстриженною и действительно благонамеренною головой; а там Биндасов гаркал и ругался, и Бамбаев восторгался слезливо... 

А главное: этот запах, неотступный, неотвязный, сладкий, тяжелый запах не давал ему покоя, и все сильней и сильней разливался в темноте, и все настойчивее напоминал ему что-то, чего он никак уловить не мог... Литвинову пришло в голову, что запах цветов вреден для здоровья ночью в спальне, и он встал, ощупью добрел до букета и вынес его в соседнюю комнату; но и оттуда проникал к нему в подушку, под одеяло, томительный запах, и он тоскливо переворачивался с боку на бок.","Дым","Иван Сергеевич Тургенев","7","{запах}","{давать,неотступный,томительный,тяжёлый,цвет,этот}","{ADJ,DET,NOUN,VERB_HEAD}"
144608,"Тяжелый аромат дегтя сливался с душным запахом прелого листа и кружил голову.","Мать","Максим Горький","7","{аромат,запах}","{дегтя,душный,лист,с,сливался,тяжёлый}","{ADJ,ADP,NOUN,PROPN,VERB_HEAD}"
176640,"Еще роса блестела на травах, но было уже душно; из-под ног пары толстых, пегих лошадей взлетала теплая, едкая пыль, крепкий запах лошадиного пота смешивался с пьяным запахом сена и отравлял тяжелой дремотой.","Жизнь Клима Самгина","Максим Горький","7","{запах,пот}","{крепкий,лошадиный,пот,пьяный,с,сена,смешивался}","{ADJ,ADP,NOUN,VERB,VERB_HEAD}"
659028,"Канарейки весело трещали, ерань и порой приносимые детьми из графского сада гиацинты изливали в маленькой комнатке сильный запах, приятно мешавшийся с дымом чистой гаванской сигары да корицы или ванили, которую толкла, энергически двигая локтями, хозяйка.","Обломов","Иван Александрович Гончаров","7","{дым,запах}","{изливать,мешавшийся,с,сигара,сильный,хозяйка}","{ADJ,ADP,NOUN,VERB,VERB_HEAD}"
607703,"Когда все это было внесено, кучер Селифан отправился на конюшню возиться около лошадей, а лакей Петрушка стал устроиваться в маленькой передней, очень темной конурке, куда уже успел притащить свою шинель и вместе с нею какой-то свой собственный запах, который был сообщен и принесенному вслед за тем мешку с разным лакейским туалетом.","Мертвые души","Николай Васильевич Гоголь","7","{запах}","{и,какой,свой,собственный,сообщить,то,устроиваться}","{ADJ,CCONJ,DET,VERB,VERB_HEAD}"
606461,"О будущей жизни он тоже никогда не думал, в глубине души нося то унаследованное им от предков твердое, спокойное убеждение, общее всем земледельцам, что как в мире животных и растений ничто не кончается, а постоянно переделывается от одной формы в другую – навоз в зерно, зерно в курицу, головастик в лягушку, червяк в бабочку, желудь в дуб, так и человек не уничтожается, но только изменяется.","Воскресение","Лев Николаевич Толстой","7","{навоз}","{–,головастик,желудь,зерно,переделываться,червяк}","{NOUN,PUNCT,VERB_HEAD}"
171114,"От пуховика исходил тошный запах прели, спину кололо что-то жесткое: это оказалась цепочка с металлическим квадратным предметом на ней.","Жизнь Клима Самгина","Максим Горький","7","{запах}","{жёсткий,исходить,прель,спина,то,тошный,что}","{ADJ,NOUN,PRON,VERB_HEAD}"
169579,"В карете гостиницы, вместе с двумя немыми, которые, спрятав головы в воротники шуб, явно не желали ничего видеть и слышать, Самгин, сквозь стекло в двери кареты, смотрел во тьму, и она казалась материальной, весомой, леденящим испарением грязи города, крови, пролитой в нем сегодня, испарением жестокости и безумия людей.","Жизнь Клима Самгина","Максим Горький","7","{испарение}","{безумие,грязь,жестокость,испарение,казаться,материальный,пролитой}","{ADJ,NOUN,VERB_HEAD}"
168711,"В синем табачном дыме, пропитанном запахом кожи, масла, дегтя, Самгин видел вытянутые шеи, затылки, лохматые головы, они подскакивали, исчезали, как пузыри на воде.","Жизнь Клима Самгина","Максим Горький","7","{дым,запах}","{в,видеть,кожа,пропитать,синий,табачный}","{ADJ,ADP,NOUN,VERB,VERB_HEAD}"
572549,"Глава X
        
        Стоявшая на самом краю хутора старая кузница встретила его знакомыми запахами и звуками: попрежнему звенел и играл в руках Ипполита Сидоровича молоток, покорный каждому движению хозяина, еще издали слышались астматические вздохи доживающего свой век меха, и попрежнему тянуло из настежь распахнутой двери горьким запахом горелого угля и чудесным, незабываемым душком неостывшей окалины.","Поднятая целина","Михаил Александрович Шолохов","7","{запах}","{встретить,горький,душок,звук,знакомый,попрежнему,уголь}","{ADJ,NOUN,VERB_HEAD}"
149385,"Ново и неприятно было и то, что мать начала душиться слишком обильно и такими крепкими духами, что, когда Клим, уходя спать, целовал ей руку, духи эти щипали ноздри его, почти вызывая слезы, точно злой запах хрена.","Жизнь Клима Самгина","Максим Горький","7","{дух,запах}","{злой,и,крепкий,такой,хрен,щипать}","{ADJ,CCONJ,DET,NOUN,VERB_HEAD}"
594885,"Так обаятелен этот чудный запах леса после весенней грозы, запах березы, фиалки, прелого листа, сморчков, черемухи, что я не могу усидеть в бричке, соскакиваю с подножки, бегу к кустам и, несмотря на то, что меня осыпает дождевыми каплями, рву мокрые ветки распустившейся черемухи, бью себя ими по лицу и упиваюсь их чудным запахом.","Детство, юность, отрочество","Лев Николаевич Толстой","7","{запах}","{берёза,лес,обаятелен,упиваться,чудной,чудный,этот}","{ADJ,DET,NOUN,VERB_HEAD}"
341953,"И вдруг какой-то непредусмотренный запах – и о чем-то таком очень неприятном… Скоро я нашел: у меня в постели была спрятана веточка ландышей.","Мы (сборник)","Евгений Иванович Замятин","7","{запах}","{…,вдруг,и,какой,непредусмотренный,неприятный,то}","{ADJ,ADV,CCONJ,DET,PUNCT}"
22168,"По всему двору был разлит мирный, радостный для Пьера в эту минуту, крепкий запах постоялого двора, запах сена, навоза и дегтя.","Война и мир","Лев Николаевич Толстой","6","{запах}","{двор,запах,крепкий,мирный,разлить,сена}","{ADJ,NOUN,VERB_HEAD}"
286335,"Вдруг вкусный жирный запах чего-то жареного заставил его раздуть ноздри.","Яма","Александр Иванович Куприн","6","{запах}","{вкусный,жареный,жирный,заставить,то,что}","{ADJ,PRON,VERB_HEAD}"
293087,"Влажный аромат парка смешивался с запахом духов.","Гиперболоид инженера Гарина (сборник)","Алексей Николаевич Толстой","6","{аромат,запах}","{влажный,дух,парк,с,смешивался}","{ADJ,ADP,NOUN,VERB_HEAD}"
11514,"Ему так живо казалось, что он теперь чувствует этот больничный запах мертвого тела, что он оглядывался, чтобы понять, откуда мог происходить этот запах.","Война и мир","Лев Николаевич Толстой","6","{запах}","{больничный,происходить,тело,чувствовать,этот}","{ADJ,DET,NOUN,VERB_HEAD}"
188448,"Дым, тяжело и медленно поднимаясь от земли, сливается с горячим, влажным воздухом, низко над людями висит серое облако, дым напитан запахами болота и человечьего навоза.","Жизнь Клима Самгина","Максим Горький","6","{дым,запах,навоз}","{болото,и,напитать,сливаться,человечий}","{ADJ,CCONJ,NOUN,VERB_HEAD}"
299005,"– О духи воздуха, Сильфы, вас призываю именем Невыразимого, которое выговаривается как слово Эша… Делайте ваше дело…

Алексей Алексеевич глядел на озаренное свечами надменное лицо Прасковьи Павловны, гордо повернутое на высокой шее.","Гиперболоид инженера Гарина (сборник)","Алексей Николаевич Толстой","6","{дух}","{–,…,воздух,о,призывать,сильфы}","{ADP,NOUN,PROPN,PUNCT,VERB}"
575134,"Пока он не отошел от ручья на порядочное расстояние, он все еще оглядывался, всего лишь несколько раз и так просто, на всякий случай…
        …Степь под ветром могуче и мерно дышала во всю свою широченную грудь пьянящим и всегда немного грустным ароматом скошенной травы, от дубовых перелесков, мимо которых бежала дорога, тянуло прохладой, мертвым, но бодрящим запахом сопревшей дубовой листвы, а вот прошлогодние листья ясеня почему-то пахли молодостью, весной и, быть может, немножко — фиалками.","Поднятая целина","Михаил Александрович Шолохов","6","{аромат,запах}","{бодрящий,грустный,и,листва,но,трава}","{ADJ,CCONJ,NOUN}"
551506,"В бане веник больше всех бояр,
		Положи его, сухмяного, в запар,
		Чтоб он был душистый и взбучистый,
		Лопашистый и уручистый…
		И залез я на высокий на полок,
		В мягкий, вольный, во малиновый парок.","Москва и москвичи","Владимир Алексеевич Гиляровский","6","{душистый}","{быть,взбучистый,лопашистый,он,уручистый,чтоб}","{ADJ,AUX,PRON,SCONJ}"
439393,"В полночь мгла сгустилась до того, что её можно было видеть в непосредственной от себя близости, и это не был дым, потому что гарью не пахло.","Дерсу Узала","Владимир Клавдиевич Арсеньев","6","{дым}","{быть,и,не,пахнуть,сгуститься,это}","{AUX,CCONJ,PART,PRON,VERB,VERB_HEAD}"
304078,"Он в этом влажном запахе цветов, в двух словах: «Любите любовь», – жеманных и волнующих, и в кротком очаровании этого вечера.","Хождение по мукам","Алексей Николаевич Толстой","6","{запах}","{в,влажный,он,слово,цвет,этот}","{ADJ,ADP,DET,NOUN,PRON}"
178367,"Свернув папиросу объема небольшой сигары, он обильно дымил крепким синим дымом ядовитого запаха; казалось, что дым идет не только из его рта, ноздрей, но даже из ушей.","Жизнь Клима Самгина","Максим Горький","6","{дым,запах}","{дымил,запах,идти,крепкий,синий,ядовитый}","{ADJ,NOUN,VERB_HEAD}"
178028,"Через полчаса огонь погасили, двор опустел, дворник закрыл ворота; в память о неудачном пожаре остался горький запах дыма, лужи воды, обгоревшие доски и, в углу двора, белый обшлаг рубахи Безбедова.","Жизнь Клима Самгина","Максим Горький","6","{дым,запах}","{горький,дым,лужа,обгореть,обшлаг,остаться}","{ADJ,NOUN,VERB,VERB_HEAD}"
126674,"Запахи кушаний глушили волнующе-тонкий аромат расставленных по столикам живых цветов.","Тихий Дон","Михаил Александрович Шолохов","6","{аромат,запах}","{волнующий,глушить,кушанье,расставить,тонкий}","{ADJ,NOUN,VERB,VERB_HEAD}"
117947,"На губах Григория остался волнующий запах ее губ, пахнувших то ли зимним ветром, то ли далеким, неуловимым запахом степного, вспрыснутого майским дождем сена.","Тихий Дон","Михаил Александрович Шолохов","6","{запах}","{волновать,губа,далёкий,остаться,сена,то}","{ADJ,CCONJ,NOUN,VERB,VERB_HEAD}"
